666,3448,1821,9570,-17433,10475,-510,-2150,-3069,-3632,-7239,10152,836,-6017,1608,-3060,9780,-12946,-8907,-5469,7452,13783,3456,8934,-7906,1279,6622,-3020,-6006,-4679,-5444,1114,-9110,1387,-3580,161,-5392,4476,4921,2023,2390,1939,8214,-2259,2239,-8120,-5644,-1877,-537,454,
-3814,5869,3092,-1439,-1122,1561,-758,2270,-2654,-309,1517,-933,3769,-476,5206,4638,2478,717,-1774,2682,-549,1046,-4534,-3348,486,-3064,-1336,3335,-1248,1947,-4973,7420,-2297,-592,-605,-6956,3802,3434,-2261,-4020,-599,-721,4120,1494,-959,2543,941,3567,-1441,661,
1260,-2622,-4414,888,-2701,12,-11551,-2732,3795,-3341,1426,18726,7606,1985,-7100,-4046,8389,-4336,7441,-4441,699,2156,-2366,-2314,-17948,15342,-3356,-2713,2008,-16100,3587,-1226,-1927,759,5877,8738,2784,-951,7199,5896,-4043,6167,-6367,6821,-11307,-3813,5665,-7665,-10492,2831,
2130,7101,4364,106,-11377,3071,-680,494,-5409,-5632,-12859,5542,1049,-7865,2994,1525,11530,-10212,-5427,-3473,834,7612,-5678,8476,-3569,-672,1259,-1291,1659,-545,-5912,4048,-4630,1985,-2447,-4790,-5131,4992,1127,1374,2078,3614,9607,-3467,303,-6639,-156,-2247,198,-3271,
-1484,188,4950,6092,4274,1920,2780,5413,5827,5775,-2217,2298,3317,-4637,-2905,4575,456,11484,-5421,-3797,-355,-9264,2021,-8528,-1690,-6560,3569,-807,2001,2967,7271,-233,6691,-969,1163,273,610,-708,2118,-4369,6885,-576,155,6717,2932,7922,4275,4235,2964,-1801,
4026,-1880,-1348,8430,-5694,-1337,-2582,-4240,-4293,1422,-6499,-2416,-5764,-3002,-8915,-4086,-583,-6001,-4139,-3868,-827,5468,6939,11563,3494,8228,6606,-5166,-2717,732,-143,-9465,-111,7334,-9198,5277,-7822,-737,3440,6880,398,1589,-3253,-5898,-342,-5846,-2078,-6436,1310,-62,
2097,-804,-2771,1114,1284,1923,-2457,-2635,-4138,236,2747,-1595,-303,-677,-556,-3507,-2409,4269,-1935,2057,1842,-587,4484,1243,4682,1925,3891,-3210,2383,-2749,1520,2974,6180,4719,-5920,-2955,890,2378,-1753,4489,595,668,-4910,-759,-2541,886,-1032,-5127,4882,-710,
2764,-3868,-8469,-5092,13118,-9575,-5484,-2389,124,3959,8332,-8769,-3364,7543,-8434,-499,-4049,13563,6423,9474,-7064,-10687,-2078,-1146,10359,10215,-9359,4957,1163,1471,512,-3411,8964,1418,248,2202,7285,-6231,-5791,4661,-7788,-5444,-13292,794,-5641,7869,5281,-4613,298,2297,
1621,-2343,-2015,-1079,9,-1875,1605,-1311,-2251,596,59,-6325,-1668,3026,-2259,843,-4929,-504,1723,1806,-903,-1161,-1079,2576,7024,662,-717,-335,1369,675,-620,-1522,-429,174,-697,17,-1481,-3044,-236,1242,172,-3184,-2716,-2876,2263,-906,-960,-1050,2422,-136,
4177,2791,-4687,8232,-7426,8852,-5473,-6764,-1964,1276,-585,4940,441,-848,-12901,-7305,7059,2808,-8659,1331,10468,-1445,2501,6975,2374,10537,4012,-1537,-2110,-11849,7172,-3286,6696,6504,-5554,-5709,-1506,2240,-3592,11032,2689,2501,-5987,-869,-4609,-2087,-5066,-11653,1724,1283,
8071,-3116,-10085,2483,-1107,-3701,7488,-859,-5900,-7172,-3389,-4019,-6485,2841,490,-8659,-3698,-12918,-2607,-2378,-4856,2475,4832,9745,-2583,-1994,1722,-498,-1461,-2066,-8055,-3615,-9090,-6165,593,1010,-3464,-1319,-3776,4232,-3678,2093,-877,-13862,7684,-7567,-7816,-4248,-299,943,
8774,1949,-2902,-4265,-12754,4357,4182,2362,-8307,-11019,-541,3561,-7017,1165,1841,4686,7119,-10423,1306,1293,5017,9507,-7735,-267,-3495,-1976,-3536,2671,4517,-9108,-7517,9389,-9067,-597,1081,-6529,1097,-3243,346,5015,1416,-6168,6662,-12234,5208,-5029,-8566,-3940,495,-660,
-540,6517,3685,1763,-5893,5502,-2239,2402,-1862,-725,-4332,9407,846,-4654,811,2160,8991,-895,-1400,-2348,3566,5224,-4341,1922,-4975,789,-1966,150,-1563,-3787,1357,654,1514,2866,85,-1598,-1746,1479,1675,1054,3579,4291,2260,-473,-3481,-923,2864,-439,695,97,
